coin,date,price,market_cap_billion,total_volume_billion,daily_pct_change
ethereum,2024-03-31,3531.9336203868056,423.72162154312946,114.24726578285163,0.6665624221521949
ethereum,2024-04-07,3394.2585443168587,407.799611620134,108.48363247770638,-0.5457887403150199
ethereum,2024-04-14,3424.0252939235443,411.2893843057445,129.85643397346547,-1.3890807730198225
ethereum,2024-04-21,3086.8545587751028,370.85467283239774,134.5269685250206,0.6378250018621578
ethereum,2024-04-28,3178.9971042618126,386.07165259888103,86.12645223288179,0.49623376528874974
ethereum,2024-05-05,3096.2222158754716,375.7462794017151,104.11869986547548,-0.6059689418138886
ethereum,2024-05-12,3007.1521764600298,361.13657575302574,73.13164100584912,-0.9542485601804707
ethereum,2024-05-19,2993.900059978964,359.67649768076245,77.48007693554153,1.0526564990390301
ethereum,2024-05-26,3643.662814497228,437.6373452649591,171.56949924623314,2.869708100192757
ethereum,2024-06-02,3806.8317600272826,457.5601993229078,92.21181951140953,0.250180899772144
ethereum,2024-06-09,3772.63823492891,453.03436000381924,82.47476792681032,-0.4832315896920427
ethereum,2024-06-16,3562.849387907482,428.23125015201816,91.99064325798652,-0.436544681616191
ethereum,2024-06-23,3526.8955564026132,428.89898688406964,101.00759779389827,-0.27124439091640146
ethereum,2024-06-30,3389.277235829006,408.2700325252009,82.11964607020141,-0.5002646568972345
ethereum,2024-07-07,3243.8176054139813,389.90316657531963,104.12171346270605,-1.2964272780318005
ethereum,2024-07-14,3073.8660620612477,369.4015926802305,94.81404100427487,0.5169011800443919
ethereum,2024-07-21,3433.425139577818,412.95549811968874,108.3522304968582,1.539602143785079
ethereum,2024-07-28,3357.4453932025635,403.7386891500032,128.08470116224612,-1.0869589293189723
ethereum,2024-08-04,3170.587632634338,381.23918891912496,110.49388774375943,-1.5701746000192982
ethereum,2024-08-11,2541.4861172173055,305.827704227179,199.54038992012727,-1.2635010290041215
ethereum,2024-08-18,2632.4497945733747,316.5778551637089,101.37402279505204,0.07207678303657243
ethereum,2024-08-25,2659.359892986013,319.89837033695466,84.5624498834954,0.8496231871453446
ethereum,2024-09-01,2568.6202900812286,309.0347511435748,93.52509901015429,-1.3140978157057963
ethereum,2024-09-08,2387.8039801299033,287.3337946323287,97.11825098303933,-1.3670577474584824
ethereum,2024-09-15,2373.4108443633454,285.59061587649836,84.9030762048158,0.9057158996505181
ethereum,2024-09-22,2422.6125456253785,291.5137808460283,103.55972277854278,1.158608751711632
ethereum,2024-09-29,2638.944701588868,317.59704397478254,105.84977061635686,0.37334509549375355
ethereum,2024-10-06,2464.8774260503546,296.6893741500912,115.62797263472949,-1.4429062740934013
ethereum,2024-10-13,2423.5671915682074,291.7717174736874,88.89323678075779,0.3772246144403365
