coin,date,price,daily_pct_change,market_cap_billion,total_volume_billion
bitcoin,2024-07-16 00:00:00,64835.48973321571,6.388272548210927,1277.8069938305175,37.81006849286247
bitcoin,2024-07-17 00:00:00,65162.23625234354,0.5039624447541247,1284.899538175181,40.91444163309575
bitcoin,2024-07-18 00:00:00,64136.31384360687,-1.5744125244010032,1266.0164580073476,33.459451713593424
bitcoin,2024-07-19 00:00:00,63959.56900809379,-0.2755768533003966,1261.4562931822588,25.976148878632156
bitcoin,2024-07-20 00:00:00,66689.54880734957,4.268289861225161,1316.1473983437174,36.994610752230415
bitcoin,2024-07-21 00:00:00,67206.06470614894,0.7745080121796422,1325.6589794679996,17.353396168041623
bitcoin,2024-07-22 00:00:00,68088.13996324532,1.3124935390178782,1343.346742483077,27.07877182795196
bitcoin,2024-07-23 00:00:00,67607.71339918874,-0.7055950776683417,1333.2018810917787,43.15759365180313
bitcoin,2024-07-24 00:00:00,65942.41746522837,-2.463174466687923,1300.9635911155374,36.10053609518872
bitcoin,2024-07-25 00:00:00,65403.53513022529,-0.817201364034359,1290.4470660283152,28.68012326971544
bitcoin,2024-07-26 00:00:00,65749.96361965332,0.5296785391466274,1297.1251448531389,35.83689613554285
bitcoin,2024-07-27 00:00:00,67920.2964857025,3.300888314713002,1339.9279668986017,30.82137006920628
bitcoin,2024-07-28 00:00:00,68055.40838968738,0.1989271410399506,1342.889431798832,30.976752616761924
bitcoin,2024-07-29 00:00:00,68242.2474440493,0.2745396123289279,1346.263382369555,17.17524402036542
bitcoin,2024-07-30 00:00:00,66770.32091848266,-2.156913906995006,1317.5814134972552,42.52904366745024
bitcoin,2024-07-31 00:00:00,66219.05102486102,-0.825621153288536,1306.7583388179871,28.892376510689587
bitcoin,2024-08-01 00:00:00,64679.77864703252,-2.3245159119701158,1275.4014737420507,31.403681581194082
bitcoin,2024-08-02 00:00:00,65357.52960767435,1.0478560298426751,1289.1570735275282,38.911302447609124
bitcoin,2024-08-03 00:00:00,61407.29547397454,-6.044038318786093,1211.85407024547,39.0043216163716
bitcoin,2024-08-04 00:00:00,60738.7449250574,-1.088715182384936,1197.9621707187737,32.88554502371265
bitcoin,2024-08-05 00:00:00,58006.206586686734,-4.498838989416409,1147.8549059216434,33.664501541451116
bitcoin,2024-08-06 00:00:00,53956.26184159744,-6.981916217942807,1064.8890390138288,120.24597238937172
bitcoin,2024-08-07 00:00:00,55959.84107399357,3.713339590274356,1104.0194193166863,52.62010083347091
bitcoin,2024-08-08 00:00:00,55099.95181146735,-1.5366184857266152,1088.5667035854303,41.60591890341173
bitcoin,2024-08-09 00:00:00,61859.03159904161,12.266943192076576,1218.3428912786092,49.201548320290726
