coin,date,price,market_cap,total_volume,daily_pct_change
ethereum,2025-02-07 00:00:00,2686.662316793651,323756512126.7498,31349967107.97825,-3.7229135361331878
ethereum,2025-02-08 00:00:00,2623.4507017824767,315636240722.9841,30948837988.08186,-2.35279344992686
ethereum,2025-02-09 00:00:00,2635.6011418023404,317758860998.56256,16335613332.591795,0.4631472591273944
ethereum,2025-02-10 00:00:00,2632.5358220552475,317369673472.60657,17155535243.908037,-0.11630438682375122
ethereum,2025-02-11 00:00:00,2660.2967996436387,320711545303.1932,18843420567.42921,1.0545337068468719
ethereum,2025-02-12 00:00:00,2603.0333698049267,313943237177.0695,21212910085.211273,-2.1525203445864616
ethereum,2025-02-13 00:00:00,2736.2703136032396,329492522913.44,26503660438.845695,5.118526152751457
ethereum,2025-02-14 00:00:00,2675.7090007037627,322584072350.2765,18938191215.29619,-2.2132796090502893
ethereum,2025-02-15 00:00:00,2724.6698335873957,328399065363.05505,17416785872.704834,1.829826519653488
ethereum,2025-02-16 00:00:00,2692.8213863864253,324625278431.52954,8896321414.559013,-1.1688919812731124
ethereum,2025-02-17 00:00:00,2659.9017474093457,320529173059.00665,8757895115.47748,-1.2224961946419866
ethereum,2025-02-18 00:00:00,2741.9050800956124,330464530098.92377,24666373348.432693,3.082945930846326
ethereum,2025-02-19 00:00:00,2669.4945006896073,321688672383.7524,24353300611.506603,-2.640885708686902
ethereum,2025-02-20 00:00:00,2714.8018364720533,327248168186.7616,13398586820.912325,1.69722529005929
ethereum,2025-02-21 00:00:00,2741.5933625994785,330517520397.0965,14550027648.522171,0.9868685724126802
ethereum,2025-02-22 00:00:00,2658.3470942919384,320508273451.5576,31770375573.3895,-3.036419238650656
ethereum,2025-02-23 00:00:00,2764.355233404291,333381856893.82196,17576653979.14654,3.987746345839316
ethereum,2025-02-24 00:00:00,2827.1844084879804,340712999974.1412,21394599890.269897,2.2728328951527432
ethereum,2025-02-25 00:00:00,2503.103420098605,301769340440.05,31014455208.756138,-11.463029698961114
ethereum,2025-02-26 00:00:00,2495.315451693047,301064649480.5458,42875934003.323944,-0.31113250627299305
ethereum,2025-02-26 03:19:50,2500.6065573302562,301502840227.1297,38856673057.98814,0.21204155304770378
solana,2024-02-28 00:00:00,108.17696263039223,47818062228.12062,3541852280.448018,
solana,2024-02-29 00:00:00,117.43028413751361,51987858810.85375,5694262625.223801,8.553874394437532
solana,2024-03-01 00:00:00,125.6818167628113,55782452212.297585,8070920258.119165,7.0267501146765055
solana,2024-03-02 00:00:00,130.0470586239426,57670794534.933525,5400962583.213069,3.473248536317275
solana,2024-03-03 00:00:00,129.8816532496919,57526283521.35976,3090626520.312499,-0.1271888622479289
solana,2024-03-04 00:00:00,130.30611971907615,57634661052.93364,3362221535.2339334,0.3268101835508741
solana,2024-03-05 00:00:00,133.32371555063142,58905211978.42328,4456997733.50504,2.315774453311037
solana,2024-03-06 00:00:00,126.39112339694104,55994211147.81779,9474088055.624058,-5.199819195751143
solana,2024-03-07 00:00:00,130.66706419099268,57750807855.93927,5149667738.287846,3.3831021349677526
solana,2024-03-08 00:00:00,144.10503256536765,63894153486.63505,7176946154.432181,10.284128183007946
solana,2024-03-09 00:00:00,145.19146101509426,64314627608.68617,5495476291.480904,0.7539143015243388
solana,2024-03-10 00:00:00,144.81714849291387,64204155811.87283,2989788017.2095094,-0.25780615441390875
solana,2024-03-11 00:00:00,144.25771555596154,63915400688.66565,3606621287.914232,-0.3863029639612825
solana,2024-03-12 00:00:00,148.79327935268395,65982204368.10759,5948377808.486974,3.1440701658435266
solana,2024-03-13 00:00:00,150.72986927133826,66773366688.398384,7152600912.428022,1.3015305039846714
solana,2024-03-14 00:00:00,163.62579653208232,72573154800.36514,6106705185.804832,8.555654777043099
solana,2024-03-15 00:00:00,176.2229997396476,77993881680.2228,9107864294.524399,7.6987880117639795
solana,2024-03-16 00:00:00,183.9242834890865,81845073461.4935,14052203542.304317,4.370192177421095
solana,2024-03-17 00:00:00,180.80173842188316,80284415527.02771,12283471205.374184,-1.6977339848593842
solana,2024-03-18 00:00:00,202.51891185720268,89815964680.74742,11964573089.442522,12.011595477386749
solana,2024-03-19 00:00:00,196.34529342439117,87207130383.47609,12536486966.095617,-3.0484157633458797
solana,2024-03-20 00:00:00,169.59755629640884,75621938582.8277,11941248034.676855,-13.622805345360812
solana,2024-03-21 00:00:00,191.44187811368815,85004052599.30891,9142062431.25945,12.880092316366621
solana,2024-03-22 00:00:00,179.5544644084378,79806198240.29042,6102628997.712434,-6.209411348435989
solana,2024-03-23 00:00:00,173.45563634427955,76738474078.01993,4530693846.294226,-3.3966451818680854
solana,2024-03-24 00:00:00,173.4537726410555,77052625363.61342,2950137170.126533,-0.00107445526897898
solana,2024-03-25 00:00:00,184.02186416380982,81893130320.22795,2903673332.7955723,6.092742384233918
solana,2024-03-26 00:00:00,188.99685465903278,83839327740.13148,4384505429.329716,2.703477936075238
solana,2024-03-27 00:00:00,191.23614507446956,84838706571.2534,4010909565.8450103,1.1848294615678379
solana,2024-03-28 00:00:00,186.13894375748401,82360081157.45738,4361858281.408015,-2.665396395122188
solana,2024-03-29 00:00:00,189.5749906128262,84248853020.74065,3248950673.7290506,1.8459580708800827
solana,2024-03-30 00:00:00,192.02726585672397,85315571281.60542,3453390013.97765,1.2935647449964005
solana,2024-03-31 00:00:00,194.48104356471714,86396723742.68846,3155980892.5212865,1.2778277590141718
solana,2024-04-01 00:00:00,202.81432536234064,90107848570.01535,2561740240.2378783,4.28488126394202
solana,2024-04-02 00:00:00,192.7252498952993,85854792170.67822,4161058168.3299327,-4.974537892733444
solana,2024-04-03 00:00:00,181.44094341124986,80782956311.50485,5007455901.9576235,-5.855126139506783
solana,2024-04-04 00:00:00,185.51116280992997,82629121371.8504,4556585967.640312,2.243275041540449
solana,2024-04-05 00:00:00,183.82146316534414,81675237331.00743,4485788181.90427,-0.9108344851016081
solana,2024-04-06 00:00:00,175.16816341233152,77960489740.01663,7594790232.57952,-4.707447979145463
solana,2024-04-07 00:00:00,178.95970355653492,79571266962.5395,4990294576.811096,2.1645144130891136
solana,2024-04-08 00:00:00,179.58218749799138,80125616078.59949,1994743993.585054,0.3478346963509571
solana,2024-04-09 00:00:00,180.64287344561157,80535874865.26263,3098234371.4541388,0.5906409552072445
solana,2024-04-10 00:00:00,172.5466374234224,77044233758.35966,2989133750.672942,-4.481901703488356
solana,2024-04-11 00:00:00,173.12196064411097,77185741544.09901,3758881713.08274,0.3334305607340049
solana,2024-04-12 00:00:00,172.69615902223114,77005624466.19768,3172488977.0431724,-0.24595471325278284
solana,2024-04-13 00:00:00,153.7682811535538,68525412911.207664,5031415889.586943,-10.960219367844049
solana,2024-04-14 00:00:00,140.18115063206616,62699848804.0115,9822094693.768135,-8.83610743357368
solana,2024-04-15 00:00:00,151.54672238984352,67806499914.97718,8511031376.896751,8.10777462342893
solana,2024-04-16 00:00:00,138.41384909362205,61710007812.6042,6284717504.940342,-8.665890683163745
solana,2024-04-17 00:00:00,136.41604917198546,60978610966.59865,5769425609.624948,-1.443352623107308
solana,2024-04-18 00:00:00,132.5311508262506,59211788810.436966,5195973605.114863,-2.8478308595764945
solana,2024-04-19 00:00:00,142.1317166813474,63576116897.51022,4473576346.080956,7.244007009101727
solana,2024-04-20 00:00:00,143.2449662842533,64000098017.81668,6474741719.336926,0.7832520628747286
solana,2024-04-21 00:00:00,150.5170929398806,67222429957.26812,3334931071.46768,5.07670659867836
solana,2024-04-22 00:00:00,148.74146308419816,66491092685.51483,2697656989.1355305,-1.1796865199832585
solana,2024-04-23 00:00:00,156.9921721394195,70249892398.89441,3462456696.352612,5.547013511996224
solana,2024-04-24 00:00:00,154.69385774418163,69275570262.24135,3123676555.227696,-1.4639675111933648
solana,2024-04-25 00:00:00,147.74509318899663,66011712440.540405,4398059368.578308,-4.491945999999702
solana,2024-04-26 00:00:00,144.98792922284767,64868424520.28813,4244001061.9474773,-1.8661627988023843
solana,2024-04-27 00:00:00,139.2590067356682,62238094836.14685,2954045955.297565,-3.9513099593098233
solana,2024-04-28 00:00:00,141.58180881704862,63319042460.19269,2641127907.433396,1.6679726043066
solana,2024-04-29 00:00:00,137.71788471179437,61615451344.778175,2093759582.375021,-2.729110566914139
solana,2024-04-30 00:00:00,137.6714796361837,61596557366.24163,2710939729.917527,-0.03369575106949574
solana,2024-05-01 00:00:00,127.0390830996602,57068380747.46253,3949643280.4869456,-7.723020457556718
solana,2024-05-02 00:00:00,134.753621251331,60292554289.61039,4578078057.900455,6.072570710872394
solana,2024-05-03 00:00:00,137.9156486710101,61642176220.23793,4018763780.3042684,2.3465250063904097
solana,2024-05-04 00:00:00,143.5498729974885,64310515828.20989,3482326753.116337,4.085268336676218
solana,2024-05-05 00:00:00,146.11104319236458,65431940754.60709,3337411967.8213387,1.784167510145318
solana,2024-05-06 00:00:00,145.68571274466362,65139241740.40005,2258970970.909871,-0.2911008219556588
solana,2024-05-07 00:00:00,152.65486339652605,68319201227.67775,3129079486.537318,4.783688476080661
solana,2024-05-08 00:00:00,148.18697723966497,66642348637.88412,3020806057.077866,-2.926789266618779
solana,2024-05-09 00:00:00,142.5160197700434,63778648967.760185,3002797158.530531,-3.826893277166876
solana,2024-05-10 00:00:00,152.72554705807713,68446070757.00757,2769016331.975477,7.163775205417111
solana,2024-05-11 00:00:00,146.3104978769931,65576191712.31699,2719661473.0723867,-4.200377281113655
solana,2024-05-12 00:00:00,145.3083544018294,65186852360.18265,1411338379.683567,-0.6849429738160273
solana,2024-05-13 00:00:00,143.58731571295039,64399645373.94642,1012732259.7845844,-1.184404500321934
solana,2024-05-14 00:00:00,147.14466221396205,65981164547.77246,2797524777.8003864,2.4774796320611303
solana,2024-05-15 00:00:00,142.0844864886782,63808410155.384514,2475112749.0764318,-3.4389121896422403
solana,2024-05-16 00:00:00,158.01312798977025,71124365755.64029,3166253780.876326,11.21068309055775
solana,2024-05-17 00:00:00,159.14533854574205,71485848565.0468,3010339838.2279334,0.7165294240900622
solana,2024-05-18 00:00:00,169.49970700636922,75995591371.301,2940812645.724995,6.506234210341688
solana,2024-05-19 00:00:00,172.45083937260318,77423323444.23485,2302108117.3224664,1.7410840516220327
solana,2024-05-20 00:00:00,170.0673475386705,76312677475.9591,2201391269.7896724,-1.3821282880408736
solana,2024-05-21 00:00:00,186.3249227218175,83636200098.33824,4223669415.40993,9.559492411940095
solana,2024-05-22 00:00:00,178.1744919321701,79995115480.06287,4264614704.586964,-4.37431057025901
